,match,exphappy,samerace,hobby_diff_phys,hobby_diff_out,hobby_diff_in,same_goal,attr_diff,sinc_diff,intel_diff,fun_diff,amb_diff,income_diff,age_diff,same_career,confidence,imprace,date_freq,out_freq
0,0,3.0,0,7.0,21.0,24.0,0,36.0,23.0,24.0,20.0,17.0,,6.0,0,0.125,4.5,7.0,1.0
1,0,3.0,0,7.0,19.0,15.0,0,60.0,19.0,18.0,38.0,13.0,40250.0,1.0,0,0.55,1.5,7.0,1.0
2,1,3.0,1,9.0,18.0,18.0,1,24.0,23.0,23.0,17.0,19.0,,1.0,0,0.15000000000000002,2.5,7.0,1.0
3,1,3.0,0,6.0,14.0,16.0,1,30.0,14.0,18.0,38.0,8.0,12907.0,2.0,0,0.425,1.5,7.0,1.0
4,1,3.0,0,2.0,28.0,20.0,0,32.0,15.0,23.0,10.0,9.0,32705.0,3.0,0,0.275,2.5,7.0,1.0
5,0,3.0,0,4.0,21.0,19.0,0,53.0,22.0,34.0,9.0,16.0,,4.0,0,0.3,5.5,7.0,1.0
6,0,3.0,0,4.0,25.0,16.0,0,37.0,20.0,29.0,11.0,13.0,30939.0,9.0,0,0.1,1.5,7.0,1.0
7,0,3.0,0,8.0,22.0,11.0,0,36.33,15.11,15.11,12.11,10.11,17477.0,6.0,0,0.1,5.0,7.0,1.0
8,1,3.0,0,13.0,16.0,30.0,0,49.0,22.0,27.0,7.0,12.0,,7.0,0,0.55,1.5,7.0,1.0
9,0,3.0,0,13.0,30.0,36.0,0,102.0,21.0,18.0,13.0,12.0,,3.0,0,0.525,1.5,7.0,1.0
10,0,4.0,1,12.0,16.0,8.0,1,65.0,19.0,29.0,23.0,8.0,,3.0,0,0.2,4.5,5.0,1.0
11,0,4.0,1,12.0,14.0,17.0,1,89.0,9.0,23.0,41.0,12.0,36692.0,2.0,0,0.625,1.5,5.0,1.0
12,0,4.0,0,10.0,13.0,20.0,0,53.0,15.0,28.0,20.0,14.0,,2.0,0,0.225,2.5,5.0,1.0
13,1,4.0,1,15.0,19.0,20.0,0,59.0,4.0,23.0,41.0,11.0,9349.0,1.0,0,0.5,1.5,5.0,1.0
14,0,4.0,0,11.0,11.0,18.0,1,61.0,7.0,28.0,13.0,16.0,29147.0,0.0,0,0.35,2.5,5.0,1.0
15,0,4.0,1,7.0,12.0,5.0,1,82.0,6.0,39.0,12.0,9.0,,1.0,0,0.375,5.5,5.0,1.0
16,0,4.0,1,9.0,10.0,12.0,0,66.0,12.0,34.0,14.0,6.0,27381.0,6.0,0,0.175,1.5,5.0,1.0
17,0,4.0,1,5.0,23.0,21.0,1,65.33,9.11,20.11,15.11,17.11,13919.0,3.0,0,0.175,5.0,5.0,1.0
18,1,4.0,1,22.0,17.0,14.0,0,78.0,6.0,32.0,10.0,13.0,,4.0,0,0.625,1.5,5.0,1.0
19,0,4.0,1,20.0,7.0,22.0,1,131.0,7.0,23.0,20.0,13.0,,0.0,0,0.6,1.5,5.0,1.0
20,0,4.0,1,19.0,12.0,13.0,0,54.0,12.0,38.0,15.0,13.0,,2.0,0,0.125,7.5,3.0,1.0
21,0,4.0,1,15.0,8.0,10.0,0,78.0,10.0,34.0,33.0,9.0,,3.0,0,0.55,4.5,3.0,1.0
22,0,4.0,0,19.0,9.0,9.0,0,42.0,12.0,37.0,12.0,13.0,,3.0,0,0.15000000000000002,5.5,3.0,1.0
23,0,4.0,1,16.0,15.0,13.0,0,48.0,5.0,32.0,33.0,4.0,,2.0,0,0.425,4.5,3.0,1.0
24,0,4.0,0,16.0,17.0,11.0,0,50.0,4.0,37.0,5.0,3.0,,1.0,0,0.275,5.5,3.0,1.0
25,0,4.0,1,14.0,6.0,18.0,0,71.0,13.0,48.0,4.0,12.0,,0.0,0,0.3,8.5,3.0,1.0
26,0,4.0,1,16.0,12.0,19.0,0,55.0,9.0,43.0,6.0,9.0,,5.0,0,0.1,4.5,3.0,1.0
27,0,4.0,1,14.0,21.0,8.0,0,54.33,4.109999999999999,29.11,7.109999999999999,4.109999999999999,,2.0,0,0.1,8.0,3.0,1.0
28,0,4.0,1,15.0,13.0,15.0,0,67.0,13.0,41.0,2.0,8.0,,3.0,0,0.55,4.5,3.0,1.0
29,0,4.0,1,17.0,17.0,19.0,0,120.0,12.0,34.0,8.0,8.0,,1.0,0,0.525,4.5,3.0,1.0
30,0,1.0,1,20.0,16.0,16.0,1,40.0,23.0,25.0,24.0,13.0,,4.0,0,0.125,4.0,5.0,1.0
31,0,1.0,1,18.0,14.0,13.0,1,64.0,19.0,17.0,42.0,9.0,8517.0,1.0,1,0.55,1.0,5.0,1.0
32,0,1.0,0,20.0,13.0,14.0,0,28.0,23.0,24.0,21.0,13.0,,1.0,1,0.15000000000000002,2.0,5.0,1.0
33,1,1.0,1,21.0,21.0,14.0,0,34.0,14.0,19.0,42.0,4.0,18826.0,0.0,1,0.425,1.0,5.0,1.0
34,0,1.0,0,19.0,9.0,14.0,1,36.0,15.0,24.0,14.0,3.0,972.0,1.0,1,0.275,2.0,5.0,1.0
35,0,1.0,1,15.0,12.0,7.0,1,57.0,22.0,35.0,13.0,12.0,,2.0,0,0.3,5.0,5.0,1.0
36,0,1.0,1,19.0,8.0,14.0,0,41.0,20.0,30.0,15.0,9.0,794.0,7.0,0,0.1,1.0,5.0,1.0
37,0,1.0,1,15.0,23.0,13.0,1,40.33,15.11,16.11,16.11,4.109999999999999,14256.0,4.0,0,0.1,4.5,5.0,1.0
38,1,1.0,1,16.0,21.0,20.0,0,53.0,22.0,28.0,11.0,8.0,,5.0,0,0.55,1.0,5.0,1.0
39,0,1.0,1,18.0,17.0,22.0,1,106.0,21.0,17.0,19.0,8.0,,1.0,0,0.525,1.0,5.0,1.0
40,0,7.0,1,9.0,17.0,17.0,0,41.0,21.0,27.0,32.0,13.0,,6.0,0,0.325,7.5,4.0,1.0
41,0,7.0,1,9.0,15.0,12.0,0,65.0,7.0,25.0,50.0,9.0,57103.0,1.0,1,0.75,4.5,4.0,1.0
42,0,7.0,0,9.0,16.0,9.0,1,29.0,17.0,26.0,29.0,13.0,,1.0,1,0.35,5.5,4.0,1.0
43,1,7.0,1,10.0,16.0,11.0,1,35.0,6.0,21.0,50.0,4.0,29760.0,2.0,1,0.625,4.5,4.0,1.0
44,0,7.0,0,6.0,18.0,13.0,0,37.0,9.0,26.0,22.0,3.0,49558.0,3.0,1,0.475,5.5,4.0,1.0
