,Unnamed: 0,exphappy,samerace,hobby_diff_phys,hobby_diff_out,hobby_diff_in,attr_diff,sinc_diff,intel_diff,fun_diff,age_diff,same_career,confidence,imprace,date_freq,out_freq,match
0,0,6.0,0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,0,0.0,2.0,6.0,0.0,0
1,1,6.0,0,2.0,3.0,3.0,6.0,3.0,2.0,6.0,0.0,0,0.0,0.0,6.0,0.0,0
2,2,6.0,1,2.0,3.0,4.0,2.0,4.0,3.0,2.0,0.0,0,0.0,6.0,6.0,0.0,1
3,3,6.0,0,6.0,2.0,3.0,3.0,2.0,2.0,6.0,6.0,0,0.0,0.0,6.0,0.0,1
4,4,6.0,0,0.0,5.0,4.0,3.0,2.0,3.0,6.0,6.0,0,0.0,6.0,6.0,0.0,1
5,5,6.0,0,6.0,4.0,4.0,5.0,3.0,5.0,6.0,2.0,0,0.0,3.0,6.0,0.0,0
6,6,6.0,0,6.0,5.0,3.0,4.0,3.0,4.0,6.0,5.0,0,0.0,0.0,6.0,0.0,0
7,7,6.0,0,2.0,4.0,2.0,4.0,2.0,6.0,6.0,3.0,0,0.0,3.0,6.0,0.0,0
8,8,6.0,0,3.0,3.0,6.0,5.0,3.0,4.0,0.0,4.0,0,0.0,0.0,6.0,0.0,1
9,9,6.0,0,3.0,6.0,6.0,6.0,3.0,2.0,2.0,6.0,0,0.0,0.0,6.0,0.0,0
10,10,2.0,1,3.0,3.0,6.0,6.0,3.0,4.0,4.0,6.0,0,0.0,2.0,4.0,0.0,0
11,11,2.0,1,3.0,2.0,3.0,6.0,6.0,3.0,6.0,6.0,0,0.0,0.0,4.0,0.0,0
12,12,2.0,0,2.0,2.0,4.0,5.0,2.0,4.0,3.0,6.0,0,0.0,6.0,4.0,0.0,0
13,13,2.0,1,4.0,3.0,4.0,6.0,0.0,3.0,6.0,0.0,0,0.0,0.0,4.0,0.0,1
14,14,2.0,0,3.0,6.0,4.0,6.0,6.0,4.0,2.0,0.0,0,0.0,6.0,4.0,0.0,0
15,15,2.0,1,2.0,2.0,0.0,6.0,0.0,6.0,6.0,0.0,0,0.0,3.0,4.0,0.0,0
16,16,2.0,1,2.0,6.0,2.0,6.0,2.0,5.0,2.0,3.0,0,0.0,0.0,4.0,0.0,0
17,17,2.0,1,6.0,4.0,4.0,6.0,6.0,2.0,2.0,6.0,0,0.0,3.0,4.0,0.0,0
18,18,2.0,1,6.0,3.0,3.0,6.0,0.0,5.0,6.0,2.0,0,0.0,0.0,4.0,0.0,1
19,19,2.0,1,5.0,0.0,5.0,6.0,6.0,3.0,3.0,0.0,0,0.0,0.0,4.0,0.0,0
20,20,2.0,1,5.0,2.0,2.0,6.0,2.0,6.0,2.0,6.0,0,0.0,5.0,2.0,0.0,0
21,21,2.0,1,4.0,6.0,2.0,6.0,6.0,5.0,6.0,6.0,0,0.0,2.0,2.0,0.0,0
22,22,2.0,0,5.0,6.0,6.0,4.0,2.0,5.0,6.0,6.0,0,0.0,3.0,2.0,0.0,0
